7800.10,0.00,0.84
8400.10,0.13,0.31
9000.10,0.70,0.92
9600.10,0.86,0.98
10200.10,0.82,1.01
10800.10,0.51,0.64
11400.10,0.47,0.72
12000.10,0.70,0.92
12600.10,0.60,0.81
13200.10,0.67,0.76
13800.10,0.95,1.01
14400.10,0.86,0.95
15000.10,0.76,0.95
15600.10,1.00,1.07
16200.10,0.87,0.98
16800.10,1.00,1.15
17400.10,0.53,0.70
18000.10,0.62,0.96
18600.10,0.77,0.99
19200.10,0.66,0.91
19800.10,0.80,0.94
20400.10,0.88,0.99
21000.10,0.78,0.94
21600.10,0.56,0.84
22200.10,1.00,1.13
22800.10,1.00,1.11
23400.10,0.85,0.97
24000.10,0.69,0.98
24600.10,0.74,0.98
25200.10,0.66,0.92
25800.10,0.80,0.99
26400.10,0.68,0.91
27000.10,1.00,1.02
27600.10,0.69,0.76
28200.10,0.66,0.77
28800.10,0.89,1.00
29400.10,0.86,1.03
30000.10,0.71,0.92
30600.10,0.72,0.94
31200.10,0.69,0.92
31800.10,0.76,0.92
32400.10,1.00,1.02
33000.10,0.91,1.05
33600.10,0.60,0.86
34200.10,0.00,0.51
34800.10,0.05,0.18
35400.10,0.00,0.50
36000.10,0.28,0.32
36600.10,0.45,0.53
37200.10,0.72,0.86
37800.10,0.72,0.89
38400.10,0.73,0.96
39000.10,0.66,0.93
39600.10,0.65,0.89
40200.10,0.74,0.91
40800.10,0.83,0.92
41400.10,1.00,1.03
42000.10,0.82,0.88
42600.10,0.52,0.79
43200.10,0.93,1.08
43800.10,0.74,0.93
44400.10,0.51,0.88
45000.10,1.00,1.06
45600.10,0.82,0.95
46200.10,0.66,0.92
46800.10,0.90,0.99
47400.10,0.86,1.04
48000.10,0.65,0.91
48600.10,0.87,0.96
49200.10,0.77,0.99
49800.10,0.80,1.00
50400.10,0.88,0.94
51000.10,0.56,0.85
51600.10,0.81,0.99
52200.10,0.83,0.93
52800.10,0.78,0.96
53400.10,0.95,1.00
54000.10,0.91,0.99
54600.10,0.93,1.09
55200.10,0.62,0.88
55800.10,1.00,1.12
56400.10,0.71,0.96
57000.10,0.92,1.06
57600.10,0.47,0.84
58200.10,0.80,0.94
58800.10,0.82,0.93
59400.10,0.74,0.99
60000.10,0.91,1.01
60600.10,1.00,1.14
61200.10,0.63,0.86
61800.10,0.82,0.91
62400.10,0.91,1.00
63000.10,0.70,0.97
63600.10,0.75,0.93
64200.10,0.90,1.01
64800.10,0.51,0.79
65400.10,0.89,0.98
66000.10,0.93,1.03
66600.10,1.00,1.08
67200.10,1.00,0.99
67800.10,0.73,1.00
68400.10,0.59,0.95
69000.10,0.97,1.06
69600.10,0.47,0.64
70200.10,0.72,0.86
70800.10,0.55,0.84
71400.10,0.95,0.97
72000.10,0.65,0.84
72600.10,0.66,0.90
73200.10,0.86,1.04
73800.10,0.68,0.83
75000.10,0.00,0.67
75600.10,0.32,0.37
76200.10,0.51,0.75
76800.10,0.70,0.93
77400.10,0.74,0.97
78000.10,0.84,0.96
78600.10,0.86,1.01
79200.10,0.72,0.82
79800.10,0.69,0.91
80400.10,0.77,0.86
81000.10,0.86,0.98
81600.10,0.98,1.08
82200.10,0.82,0.90
82800.10,0.72,0.89
83400.10,0.79,0.91
84000.10,0.88,1.04
84600.10,0.61,0.84
85200.10,0.71,0.92
85800.10,0.66,0.85
